"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"revaluation","88","572356","0.0-3.0-15.0-2.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1507,626]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","89","572875","0.0-3.0-15.0-2.0-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","90","578905","0.0-3.0-15.0-2.0-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1034,568]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","91","579416","0.0-3.0-15.0-2.0-1.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","92","585486","0.0-3.0-15.0-2.0-0.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1250,567]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","93","586006","0.0-3.0-15.0-2.0-1.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","94","592066","0.0-3.0-15.0-2.0-0.6","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[786,627]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","95","592585","0.0-3.0-15.0-2.0-1.6","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","96","598626","0.0-3.0-15.0-2.0-0.7","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1118,508]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","97","599146","0.0-3.0-15.0-2.0-1.7","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","98","603185","0.0-3.0-15.0-2.0-0.8","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[715]","./assets/img/space/catch/3.jpg","[""spaceBar""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","","","",""
"html-keyboard-response","99","603705","0.0-3.0-15.0-2.0-1.8","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","100","618973","0.0-3.0-15.0-3.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2247","<p> Now, you will travel with a friend who will choose whether you go up or down first. </p>
            <p> On these turns, you will just see the animal that they found. You will still get to choose which chest to search for treasure.</p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","101","634352","0.0-3.0-15.0-3.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","3695","<p> In this part, you will also hear beeps from your friend and see special treasure chests that need a password. </p>
            <p> Do your best to count the high beeps <b>and</b> choose between each animals' chests at the same time.</p>
            <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","102","638411","0.0-3.0-15.0-4.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","true","","","","","[]","./assets/img/space/animals/cat.jpg","[]","practice block","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp","","[""19_0""]","","","","","","0","","",""
"html-keyboard-response","103","638934","0.0-3.0-15.0-4.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","104","642955","0.0-3.0-15.0-4.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1387]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","[""21_1""]","","","","","","1","","",""
"html-keyboard-response","105","643475","0.0-3.0-15.0-4.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","106","647495","0.0-3.0-15.0-4.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1242]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","[""20_0""]","","","","","","2","","",""
"html-keyboard-response","107","648005","0.0-3.0-15.0-4.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","108","652035","0.0-3.0-15.0-4.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[960]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","[""22_3""]","","","","","","3","","",""
"html-keyboard-response","109","652555","0.0-3.0-15.0-4.0-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"html-slider-response","110","669521","0.0-3.0-15.0-4.0-2.3-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","16966","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","5","beep chest","","","","false","","","","50","82","77","","","","","",""
"learning-instructions","111","679021","0.0-3.0-15.0-5.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2055","<p> Time to play the dot game! </p>
            <p> For 15 seconds, click the red dots on the following screen as they appear. </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","112","694023","0.0-3.0-15.0-5.0-1.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","[87]","","","rest practice","","10","","","","","","","","","0","15000","","","",""
"learning-instructions","113","702234","0.0-3.0-15.0-6.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<p> You have almost finished this part of the game! </p>
            <p> We are going to ask you to make a few more choices. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","114","718373","0.0-3.0-15.0-6.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<p> First, you need to decide whether to go up or down. When you see each picture, use the arrow keys to make your choice. </p>
            <p><b>You will not see which animal you found, but try to get to the one that will give you the most treasure.</b></p>","","instructions","","","","","","","","","","","","","","","",""
"html-keyboard-response","115","719384","0.0-3.0-15.0-7.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:100px;color:red;"">Starting in...</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","116","720403","0.0-3.0-15.0-7.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">3</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","117","721404","0.0-3.0-15.0-7.0-2.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">2</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","118","722423","0.0-3.0-15.0-7.0-3.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">1</div>","null","","","","","","","","","","","","","","","","",""
"revaluation","119","722858","0.0-3.0-15.0-8.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[431]","./assets/img/space/15.jpg","[""ArrowUp""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","120","723364","0.0-3.0-15.0-9.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","121","736833","0.0-3.0-15.0-10.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<p> Now you will see the animals again and can search their chests for treasure. </p>
            <p> This time, you will not see how much treasure you earned, but you will earn more bonus money for making better choices. </p>","","instructions","","","","","","","","","","","","","","","",""
"html-keyboard-response","122","737854","0.0-3.0-15.0-11.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:100px;color:red;"">Starting in...</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","123","738874","0.0-3.0-15.0-11.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">3</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","124","739893","0.0-3.0-15.0-11.0-2.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">2</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","125","740913","0.0-3.0-15.0-11.0-3.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:200px;color:red;"">1</div>","null","","","","","","","","","","","","","","","","",""
"revaluation","126","741838","0.0-3.0-15.0-12.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[923]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","127","742353","0.0-3.0-15.0-12.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","128","743442","0.0-3.0-15.0-12.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1087]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","129","743953","0.0-3.0-15.0-12.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","130","749538","0.0-3.0-16.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","963","<p> Before you start, we're going to ask you a few questions about how the game works. </p>","","instructions","","","","","","","","","","","","","","","",""
"comp-q","131","757188","0.0-3.0-17.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2014","<p> <b> True or False? </b> </p>
            <p> There can be 50 pieces of treasure in a given animal's chest. </p>","0","comp_question","","","","false","","","","","","","","","","","",""
"comp-q","132","764904","0.0-3.0-17.0-0.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1129","<p> <b>Incorrect.</b> The amount of treasure in each chest can range from 0 to 40 pieces. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","133","771561","0.0-3.0-17.0-0.1-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1087","<p> <b> True or False? </b> </p>
            <p> There can be 50 pieces of treasure in a given animal's chest. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","134","781093","0.0-3.0-17.0-0.1-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2809","<p> <b> That's right! </b> The amount of treasure in each chest can range from 0 to 40 pieces. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","135","789833","0.0-3.0-17.0-0.2-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1549","<p> <b> True or False? </b> </p><p> In this game, all animals have the same amount of treasure in their left and right chests. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","136","796252","0.0-3.0-17.0-0.2-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1128","<p> <b> That's right! </b> Animals have different amounts of treasure in their treasure chests. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","137","803661","0.0-3.0-17.0-0.3-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1517","<p> <b> True or False? </b> </p><p> The same animal will always be there if you go up in the same place. </p>","0","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","138","812931","0.0-3.0-17.0-0.3-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2757","<p> <b> That's right! </b> One animal lives in the upper part and one lives in the lower part of every place. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","139","819497","0.0-3.0-17.0-0.4-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","994","<p> <b> True or False? </b> </p><p> If you see a different picture, it means you are in a new place. </p>","0","comp_question","","","","false","","","","","","","","","","","",""
"comp-q","140","831776","0.0-3.0-17.0-0.4-1.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1083","<p> <b>Incorrect.</b> Lots of different images may show the same place. For example,  you may see three different images that all remind you that you are in outer space. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","141","838392","0.0-3.0-17.0-0.5-0.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1098","<p> <b> True or False? </b> </p><p> If you see a different picture, it means you are in a new place. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","142","851167","0.0-3.0-17.0-0.5-1.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1444","<p> <b> That's right! </b> Lots of different images may show the same place. For example,  you may see three different images that all remind you that you are in outer space. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"learning-instructions","143","863382","0.0-3.0-18.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2280","<p> Good job. Remember to do your best because the amount of treasure you earn will be converted into bonus money. </p>
            <p> It’s time to start the real game! </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","144","868083","0.0-4.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1900","<p> This time you are searching for treasure in the <b>canyon</b>.</p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","145","887546","0.0-4.0-0.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2023","<p><b>New</b> animals with <b>new</b> treasure chests live here. You need to explore to discover where the animal with the best treasure chest is.</p>
                    <p> Like before, once you figure out which animal has the chest with the most treasure, you should try to get to that animal and select that chest! </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","146","903117","0.0-4.0-1.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","834","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","147","909152","0.0-4.0-2.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1049,944]","./assets/img/canyon/memory/2.jpg","[""ArrowUp"",""ArrowLeft""]","value training","canyon","23","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowLeft","false","","","","","","","0","revaluation","1",""
"html-keyboard-response","148","909671","0.0-4.0-2.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","1","","",""
"revaluation","149","915696","0.0-4.0-2.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[833,427]","./assets/img/canyon/memory/24.jpg","[""ArrowUp"",""ArrowRight""]","value training","canyon","10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowRight","false","","","","","","","2","revaluation","1",""
"html-keyboard-response","150","916211","0.0-4.0-2.0-1.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","3","","",""
"revaluation","151","922242","0.0-4.0-2.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[636,871]","./assets/img/canyon/memory/5.jpg","[""ArrowDown"",""ArrowLeft""]","value training","canyon","8","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowDown,ArrowLeft","false","","","","","","","4","revaluation","1",""
"html-keyboard-response","152","922761","0.0-4.0-2.0-1.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","5","","",""
"revaluation","153","928801","0.0-4.0-2.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[380,363]","./assets/img/canyon/memory/10.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","6","revaluation","1",""
"html-keyboard-response","154","929320","0.0-4.0-2.0-1.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","7","","",""
"revaluation","155","935361","0.0-4.0-2.0-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[580,445]","./assets/img/canyon/memory/0.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","8","revaluation","1",""
"html-keyboard-response","156","935880","0.0-4.0-2.0-1.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","9","","",""
"revaluation","157","941921","0.0-4.0-2.0-0.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[591,242]","./assets/img/canyon/memory/22.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","10","revaluation","1",""
"html-keyboard-response","158","942440","0.0-4.0-2.0-1.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","11","","",""
"revaluation","159","948481","0.0-4.0-2.0-0.6","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[432,397]","./assets/img/canyon/memory/24.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","12","revaluation","1",""
"html-keyboard-response","160","949000","0.0-4.0-2.0-1.6","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","13","","",""
"revaluation","161","953021","0.0-4.0-2.0-0.7","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[344]","./assets/img/canyon/catch/6.jpg","[""ArrowDown""]","value training","canyon","-10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowDown","true","","","","","","","14","revaluation","1",""
"html-keyboard-response","162","953541","0.0-4.0-2.0-1.7","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","15","","",""
"revaluation","163","959600","0.0-4.0-2.0-0.8","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[628,568]","./assets/img/canyon/memory/28.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","16","revaluation","1",""
"html-keyboard-response","164","960120","0.0-4.0-2.0-1.8","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","17","","",""
"revaluation","165","966161","0.0-4.0-2.0-0.9","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[559,490]","./assets/img/canyon/memory/17.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","18","revaluation","1",""
"html-keyboard-response","166","966680","0.0-4.0-2.0-1.9","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","19","","",""
"revaluation","167","972711","0.0-4.0-2.0-0.10","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[1120,545]","./assets/img/canyon/memory/20.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","20","revaluation","1",""
"html-keyboard-response","168","973231","0.0-4.0-2.0-1.10","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","21","","",""
"revaluation","169","979270","0.0-4.0-2.0-0.11","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[679,494]","./assets/img/canyon/memory/6.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","22","revaluation","1",""
"html-keyboard-response","170","979790","0.0-4.0-2.0-1.11","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","23","","",""
"revaluation","171","985820","0.0-4.0-2.0-0.12","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","false","","","","","[906,537]","./assets/img/canyon/memory/18.jpg","[""ArrowDown"",""ArrowRight""]","value training","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","24","revaluation","1",""
"html-keyboard-response","172","986339","0.0-4.0-2.0-1.12","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","25","","",""
